"caminho","tipo","objetivo","disciplina","assunto","onda","mvp","acao","prioridade"
"storage/content/oab/40-exame/provas/caderno-de-provas-direito-empresarial-8dlhhq.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/40-exame/provas/caderno-de-provas-direito-penal-1eev3u.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/40-exame/provas/caderno-de-provas-direito-tributario-1std0g.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/40-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","40o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/41-exame/provas/caderno-de-provas-direito-administrativo-402my0.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/41-exame/provas/caderno-de-provas-direito-constitucional-qkez6x.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/41-exame/provas/caderno-de-provas-direito-empresarial-172s0s.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/41-exame/provas/caderno-de-provas-direito-penal-ksdt00.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/41-exame/provas/caderno-de-provas-direito-tributario-hm4xng.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/41-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","41o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/42-exame/provas/caderno-de-provas-direito-administrativo-157co2.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/42-exame/provas/caderno-de-provas-direito-constitucional-d1ziy9.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/42-exame/provas/caderno-de-provas-direito-empresarial-3gflxd.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/42-exame/provas/caderno-de-provas-direito-penal-1uveat.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/42-exame/provas/caderno-de-provas-direito-tributario-r6a39c.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/42-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","42o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/43-exame/provas/caderno-de-provas-direito-administrativo-gmo2xi.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/43-exame/provas/caderno-de-provas-direito-constitucional-1bglgz.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/43-exame/provas/caderno-de-provas-direito-empresarial-9o7pp5.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/43-exame/provas/caderno-de-provas-direito-penal-1791h6.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/43-exame/provas/caderno-de-provas-direito-tributario-vm5lsm.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/43-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","43o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/44-exame/provas/caderno-de-provas-direito-administrativo-7xzvov.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/44-exame/provas/caderno-de-provas-direito-constitucional-bmq3a.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/44-exame/provas/caderno-de-provas-direito-empresarial-1wr9ta.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/44-exame/provas/caderno-de-provas-direito-penal-1xaiqz.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/44-exame/provas/caderno-de-provas-direito-tributario-195his.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/44-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","44o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/45-exame/provas/caderno-de-provas-direito-administrativo-18f4gb.pdf","prova PDF","OAB","Direito Administrativo","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/45-exame/provas/caderno-de-provas-direito-constitucional-jo56bf.pdf","prova PDF","OAB","Direito Constitucional","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/45-exame/provas/caderno-de-provas-direito-empresarial-1nc4hy.pdf","prova PDF","OAB","Direito Empresarial","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/45-exame/provas/caderno-de-provas-direito-penal-175dyx.pdf","prova PDF","OAB","Direito Penal","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/45-exame/provas/caderno-de-provas-direito-tributario-11v67s.pdf","prova PDF","OAB","Direito Tributário","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/45-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","45o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/46-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","46o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"storage/content/oab/7-exame/questoes/questoes-extraidas.json","banco de questões","OAB","Ética Profissional","7o Exame OAB - Questao 1","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"material-provas/fgv/provas PM/aluno_oficial_da_pm_discursivansd101_tipo_1.pdf","prova PDF","Polícia Militar","Redação","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"material-provas/fgv/provas PM/aluno_soldado_da_pm_discursivanmd001_tipo_1.pdf","prova PDF","Polícia Militar","Redação","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
"material-provas/fgv/provas PM/ns002_-_delegado_de_policia_-_4a_classe_prova_discursivans002_tipo_1.pdf","prova PDF","Polícia Civil","Redação","","onda 1 ou 2","avaliar","planejar importacao/conexao","Alta"
"material-provas/fgv/provas PM/pcrn-delegado-de-policia-civil-substituto-deleg-02-tipo-1-discursiva.pdf","prova PDF","Polícia Civil","Redação","","onda 1 ou 2","avaliar","planejar importacao/conexao","Alta"
"material-provas/fgv/provas PM/pmerj-cfo-prova-discursiva.pdf","prova PDF","Polícia Militar","Redação","","onda 1 ou 2","sim","planejar importacao/conexao","Alta"
